name,vrom_start,vrom_end,vram_start
ovl_Effect_Ss_En_Fire,D5C190,D5C960,809A2B60
ovl_Effect_Ss_En_Ice,D5C960,D5D2F0,809A3330
ovl_Effect_Ss_Extra,D5D2F0,D5D750,809A3CC0
ovl_Effect_Ss_Fcircle,D5D750,D5DC90,809A4120
ovl_Effect_Ss_Fhg_Flash,D5DC90,D5ED70,809A4660
ovl_Effect_Ss_Fire_Tail,D5ED70,D5F500,809A5740
ovl_Effect_Ss_G_Fire,D5F500,D5F780,809A5ED0
ovl_Effect_Ss_G_Magma,D5F780,D5F9D0,809A6150
ovl_Effect_Ss_G_Magma2,D5F9D0,D5FF90,809A63A0
ovl_Effect_Ss_G_Ripple,D5FF90,D60560,809A6960
ovl_Effect_Ss_G_Spk,D60560,D60B70,809A6F30
ovl_Effect_Ss_G_Splash,D60B70,D61020,809A7540
ovl_Effect_Ss_Hahen,D61020,D61780,809A79F0
ovl_Effect_Ss_HitMark,D61780,D61D30,809A8150
ovl_Effect_Ss_Ice_Piece,D61D30,D62220,809A8700
ovl_Effect_Ss_Ice_Smoke,D62220,D627E0,809A8BF0
ovl_Effect_Ss_K_Fire,D627E0,D62CB0,809A91B0
ovl_Effect_Ss_Kakera,D62CB0,D63E40,809A9680
ovl_Effect_Ss_KiraKira,D63E40,D64520,809AA810
ovl_Effect_Ss_Lightning,D64520,D64C60,809AAEF0
ovl_Effect_Ss_Sibuki,D64C60,D65390,809AB630
ovl_Effect_Ss_Sibuki2,D65390,D65760,809ABD60
ovl_Effect_Ss_Solder_Srch_Ball,D65760,D65900,809AC130
ovl_Effect_Ss_Stick,D65900,D65D30,809AC2D0
ovl_Effect_Ss_Stone1,D65D30,D66150,809AC700
ovl_Elf_Msg,D66150,D66D30,809ACB20
ovl_Elf_Msg2,D66D30,D67550,809AD700
ovl_En_Am,D67550,D699A0,809ADF20
ovl_En_Ani,D699A0,D6A750,809B0370
ovl_En_Anubice,D6A750,D6BBD0,809B1120
ovl_En_Anubice_Fire,D6BBD0,D6CA30,809B25A0
ovl_En_Anubice_Tag,D6CA30,D6CE00,809B3400
ovl_En_Arow_Trap,D6CE00,D6CF50,809B37D0
ovl_En_Arrow,D6CF50,D6E730,809B3920
ovl_En_Attack_Niw,D6E730,D6F980,809B5100
ovl_En_Ba,D6F980,D71910,809B6350
ovl_En_Bb,D71910,D75660,809B82E0
ovl_En_Bdfire,D75660,D76290,809BC030
ovl_En_Bigokuta,D76290,D78ED0,809BCC60
ovl_En_Bili,D78ED0,D7B1E0,809BF8A0
ovl_En_Bird,D7B1E0,D7B690,809C1BB0
ovl_En_Blkobj,D7B690,D7BD00,809C2060
ovl_En_Bom,D7BD00,D7CC60,809C26D0
ovl_En_Bom_Bowl_Man,D7CC60,D7E470,809C3630
ovl_En_Bom_Bowl_Pit,D7E470,D7EE60,809C4E40
ovl_En_Bom_Chu,D7EE60,D80590,809C5830
ovl_En_Bombf,D80590,D81AB0,809C6F60
ovl_En_Boom,D81AB0,D823F0,809C8480
ovl_En_Box,D823F0,D84130,809C8DC0
ovl_En_Brob,D84130,D85220,809CAB10
ovl_En_Bubble,D85220,D86690,809CBC00
ovl_En_Butte,D86690,D87D00,809CD070
ovl_En_Bw,D87D00,D8B100,809CE6E0
ovl_En_Bx,D8B100,D8BCB0,809D1AE0
ovl_En_Changer,D8BCB0,D8CBD0,809D2690
ovl_En_Clear_Tag,D8CBD0,D959F0,809D35B0
ovl_En_Cow,D959F0,D96E30,809DEE00
ovl_En_Crow,D96E30,D984A0,809E0240
ovl_En_Cs,D984A0,D99720,809E18B0
ovl_En_Daiku,D99720,D9AF10,809E2B30
ovl_En_Daiku_Kakariko,D9AF10,D9C3C0,809E4320
ovl_En_Dekubaba,D9C3C0,DA0150,809E57D0
ovl_En_Dekunuts,DA0150,DA1930,809E9560
ovl_En_Dh,DA1930,DA3470,809EAD40
ovl_En_Dha,DA3470,DA4460,809EC880
ovl_En_Diving_Game,DA4460,DA5F40,809ED870
ovl_En_Dns,DA5F40,DA74D0,809EF350
ovl_En_Dnt_Demo,DA74D0,DA86D0,809F08E0
ovl_En_Dnt_Jiji,DA86D0,DA9EB0,809F1AE0
ovl_En_Dnt_Nomal,DA9EB0,DACFB0,809F32C0
ovl_En_Dodojr,DACFB0,DAEE40,809F63C0
ovl_En_Dodongo,DAEE40,DB1BC0,809F8250
ovl_En_Dog,DB1BC0,DB2DC0,809FAFD0
ovl_En_Door,DB2DC0,DB3C20,809FC1D0
ovl_En_Ds,DB3C20,DB4820,809FD030
ovl_En_Du,DB4820,DB62E0,809FDC30
ovl_En_Dy_Extra,DB62E0,DB6980,809FF6F0
ovl_En_Eg,DB6980,DB6B90,809FFD90
ovl_En_Eiyer,DB6B90,DB8820,809FFFA0
ovl_En_Elf,DB8820,DBD310,80A01C30
ovl_En_Encount1,DBD310,DBE580,80A06720
ovl_En_Encount2,DBE580,DBFA90,80A07990
ovl_En_Ex_Item,DBFA90,DC1000,80A08EA0
ovl_En_Ex_Ruppy,DC1000,DC22B0,80A0A410
ovl_En_Fd,DC22B0,DC50A0,80A0B6C0
ovl_En_Fd_Fire,DC50A0,DC5E50,80A0E4B0
ovl_En_Fhg_Fire,DC5E50,DC8810,80A0F260
ovl_En_Fire_Rock,DC8810,DC9C60,80A11C20
ovl_En_Firefly,DC9C60,DCBE70,80A13070
ovl_En_Fish,DCBE70,DCE100,80A15280
ovl_En_Floormas,DCE100,DD1590,80A17510
ovl_En_Fr,DD1590,DD4400,80A1A9A0
ovl_En_Fu,DD4400,DD5180,80A1D810
ovl_En_Fw,DD5180,DD69A0,80A1E5A0
ovl_En_Fz,DD69A0,DD8AA0,80A1FDC0
ovl_En_G_Switch,DD8AA0,DDA940,80A21EC0
ovl_En_Ganon_Mant,DDA940,DDEBE0,80A23D60
ovl_En_Ganon_Organ,DDEBE0,DE5D60,80A28000
ovl_En_Gb,DE5D60,DE7550,80A2F180
ovl_En_Ge1,DE7550,DE97B0,80A30970
ovl_En_Ge2,DE97B0,DEB200,80A32BD0
ovl_En_Ge3,DEB200,DEBEF0,80A34620
ovl_En_GeldB,DEBEF0,DF1330,80A35310
ovl_En_GirlA,DF1330,DF42C0,80A3A750
ovl_En_Gm,DF42C0,DF5150,80A3D6E0
ovl_En_Go,DF5150,DF9910,80A3E570
ovl_En_Go2,DF9910,DFFAA0,80A42D30
ovl_En_Goma,DFFAA0,E02880,80A48EC0
ovl_En_Goroiwa,E02880,E04F00,80A4BCA0
ovl_En_Gs,E04F00,E06E00,80A4E320
ovl_En_Guest,E06E00,E07930,80A50220
ovl_En_Hata,E07930,E07EB0,80A50D50
ovl_En_Heishi1,E07EB0,E09A80,80A512D0
ovl_En_Heishi2,E09A80,E0C220,80A52EA0
ovl_En_Heishi3,E0C220,E0CCB0,80A55640
ovl_En_Heishi4,E0CCB0,E0DDE0,80A560D0
ovl_En_Hintnuts,E0DDE0,E0F7F0,80A57200
ovl_En_Holl,E0F7F0,E10810,80A58C10
ovl_En_Honotrap,E10810,E11ED0,80A59C30
ovl_En_Horse,E11ED0,E1E130,80A5B2F0
ovl_En_Horse_Game_Check,E1E130,E1F240,80A67550
ovl_En_Horse_Ganon,E1F240,E1FFB0,80A68660
ovl_En_Horse_Link_Child,E1FFB0,E21E30,80A693D0
ovl_En_Horse_Normal,E21E30,E244B0,80A6B250
ovl_En_Horse_Zelda,E244B0,E24F80,80A6D8D0
ovl_En_Hs,E24F80,E25B80,80A6E3A0
ovl_En_Hs2,E25B80,E26190,80A6EFA0
ovl_En_Hy,E26190,E29BD0,80A6F5B0
ovl_En_Ice_Hono,E29BD0,E2AEF0,80A72FF0
ovl_En_Ik,E2AEF0,E2FB80,80A74310
ovl_En_In,E2FB80,E329F0,80A78FB0
ovl_En_Insect,E329F0,E35030,80A7BE20
ovl_En_Ishi,E35030,E3E250,80A7E460
ovl_En_It,E3E250,E3E3D0,80A87680
ovl_En_Jj,E3E3D0,E3F9E0,80A87800
ovl_En_Js,E3F9E0,E40370,80A88E10
ovl_En_Jsjutan,E40370,E451E0,80A897A0
ovl_En_Kakasi,E451E0,E46080,80A8F170
ovl_En_Kakasi2,E46080,E46D90,80A90010
ovl_En_Kakasi3,E46D90,E48010,80A90D20
ovl_En_Kanban,E48010,E4B3C0,80A91FA0
ovl_En_Karebaba,E4B3C0,E4CE20,80A95350
ovl_En_Ko,E4CE20,E51010,80A96DB0
ovl_En_Kusa,E51010,E525C0,80A9AFA0
ovl_En_Kz,E525C0,E53BB0,80A9C550
ovl_En_Light,E53BB0,E54A40,80A9DB40
ovl_En_Lightbox,E54A40,E54EB0,80A9E9D0
ovl_En_M_Fire1,E54EB0,E55050,80A9EE40
ovl_En_M_Thunder,E55050,E56700,80A9EFE0
ovl_En_Ma1,E56700,E57A10,80AA0690
ovl_En_Ma2,E57A10,E58B10,80AA19A0
ovl_En_Ma3,E58B10,E59B70,80AA2AA0
ovl_En_Mag,E59B70,E5C0C0,80AA3B00
ovl_En_Mb,E5C0C0,E602C0,80AA6050
ovl_En_Md,E602C0,E62970,80AAA250
ovl_En_Mk,E62970,E637E0,80AAC900
ovl_En_Mm,E637E0,E64EC0,80AAD770
ovl_En_Mm2,E64EC0,E65D90,80AAEE50
ovl_En_Ms,E65D90,E66490,80AAFD20
ovl_En_Mu,E66490,E66E00,80AB0420
ovl_En_Nb,E66E00,E6B7F0,80AB0D90
ovl_En_Niw,E6B7F0,E6EFF0,80AB5780
ovl_En_Niw_Girl,E6EFF0,E6FCB0,80AB8F80
ovl_En_Niw_Lady,E6FCB0,E71AC0,80AB9C40
ovl_En_Nutsball,E71AC0,E72150,80ABBA50
ovl_En_Nwc,E72150,E72C20,80ABC0E0
ovl_En_Ny,E72C20,E74710,80ABCBB0
ovl_En_OE2,E74710,E747D0,80ABE6A0
ovl_En_Okarina_Effect,E747D0,E74D90,80ABE760
ovl_En_Okarina_Tag,E74D90,E766D0,80ABED20
ovl_En_Okuta,E766D0,E78D10,80AC0660
ovl_En_Ossan,E78D10,E7FF90,80AC2CA0
ovl_En_Owl,E7FF90,E83E40,80AC9F20
ovl_En_Part,E83E40,E85510,80ACDDD0
ovl_En_Peehat,E85510,E88D20,80ACF4A0
ovl_En_Po_Desert,E88D20,E89B70,80AD2CB0
ovl_En_Po_Field,E89B70,E8D720,80AD3B00
ovl_En_Po_Relay,E8D720,E8EF70,80AD7740
ovl_En_Po_Sisters,E8EF70,E93D30,80AD8F90
ovl_En_Poh,E93D30,E980A0,80ADDD50
ovl_En_Pu_box,E980A0,E983E0,80AE20C0
ovl_En_Rd,E983E0,E9ACB0,80AE2400
ovl_En_Reeba,E9ACB0,E9C910,80AE4CD0
ovl_En_River_Sound,E9C910,E9D290,80AE6930
ovl_En_Rl,E9D290,E9E420,80AE72B0
ovl_En_Rr,E9E420,EA0BF0,80AE8440
ovl_En_Ru1,EA0BF0,EA8530,80AEAC10
ovl_En_Ru2,EA8530,EAB540,80AF2550
ovl_En_Sa,EAB540,EAD7D0,80AF5560
ovl_En_Sb,EAD7D0,EAEC50,80AF77F0
ovl_En_Scene_Change,EAEC50,EAEE00,80AF8C70
ovl_En_Sda,EAEE00,EB0640,80AF8E20
ovl_En_Shopnuts,EB0640,EB15B0,80AFA720
ovl_En_Si,EB15B0,EB1AA0,80AFB690
ovl_En_Siofuki,EB1AA0,EB28C0,80AFBB80
ovl_En_Skb,EB28C0,EB41D0,80AFC9A0
ovl_En_Skj,EB41D0,EB7DC0,80AFE2B0
ovl_En_Skjneedle,EB7DC0,EB8180,80B01EB0
ovl_En_Ssh,EB8180,EBA7A0,80B02270
ovl_En_St,EBA7A0,EBD450,80B04890
ovl_En_Sth,EBD450,EC16B0,80B07540
ovl_En_Stream,EC16B0,EC1CC0,80B0B7A0
ovl_En_Sw,EC1CC0,EC5540,80B0BDB0
ovl_En_Syateki_Itm,EC5540,EC6700,80B0F6B0
ovl_En_Syateki_Man,EC6700,EC7780,80B10870
ovl_En_Syateki_Niw,EC7780,EC9930,80B118F0
ovl_En_Ta,EC9930,ECD3F0,80B13AA0
ovl_En_Takara_Man,ECD3F0,ECDDC0,80B17560
ovl_En_Tana,ECDDC0,ECE1F0,80B17F30
ovl_En_Tg,ECE1F0,ECE910,80B18360
ovl_En_Tite,ECE910,ED1790,80B18A80
ovl_En_Tk,ED1790,ED3720,80B1B900
ovl_En_Torch,ED3720,ED3810,80B1D890
ovl_En_Torch2,ED3810,ED5FC0,80B1D980
ovl_En_Toryo,ED5FC0,ED6C30,80B20170
ovl_En_Tp,ED6C30,ED8B40,80B20DE0
ovl_En_Tr,ED8B40,EDA4B0,80B22CF0
ovl_En_Trap,EDA4B0,EDB740,80B24660
ovl_En_Tubo_Trap,EDB740,EDC500,80B258F0
ovl_En_Vali,EDC500,EDED00,80B266B0
ovl_En_Vase,EDED00,EDEDF0,80B28EB0
ovl_En_Vb_Ball,EDEDF0,EE0050,80B28FA0
ovl_En_Viewer,EE0050,EE3290,80B2A200
ovl_En_Vm,EE3290,EE4C20,80B2D460
ovl_En_Wall_Tubo,EE4C20,EE5350,80B2EDF0
ovl_En_Wallmas,EE5350,EE6E50,80B2F520
ovl_En_Weather_Tag,EE6E50,EE80C0,80B31020
ovl_En_Weiyer,EE80C0,EE9AE0,80B32290
ovl_En_Wf,EE9AE0,EEDE90,80B33CB0
ovl_En_Wonder_Item,EEDE90,EEEE40,80B38060
ovl_En_Wonder_Talk,EEEE40,EEFC20,80B390F0
ovl_En_Wonder_Talk2,EEFC20,EF0CC0,80B39ED0
ovl_En_Wood02,EF0CC0,EF1F20,80B3AF70
ovl_En_Xc,EF1F20,EF8AD0,80B3C1E0
ovl_En_Yabusame_Mark,EF8AD0,EF96D0,80B42DC0
ovl_En_Yukabyun,EF96D0,EF9D60,80B439C0
ovl_En_Zf,EF9D60,F00840,80B44050
ovl_En_Zl1,F00840,F04690,80B4AB40
ovl_En_Zl2,F04690,F090B0,80B4E990
ovl_En_Zl3,F090B0,F114B0,80B533B0
ovl_En_Zl4,F114B0,F15F20,80B5B7B0
ovl_En_Zo,F15F20,F186C0,80B60220
ovl_En_fHG,F186C0,F1B420,80B629C0
ovl_End_Title,F1B420,F1F6A0,80B65720
ovl_Fishing,F1F6A0,F33D70,80B699A0
ovl_Item_B_Heart,F33D70,F34210,80B85150
ovl_Item_Etcetera,F34210,F34C00,80B855F0
ovl_Item_Inbox,F34C00,F34D50,80B85FE0
ovl_Item_Ocarina,F34D50,F35540,80B86130
ovl_Item_Shield,F35540,F35FF0,80B86920
ovl_Magic_Dark,F35FF0,F37990,80B873D0
ovl_Magic_Fire,F37990,F39D20,80B88D70
ovl_Magic_Wind,F39D20,F3BC70,80B8B100
ovl_Mir_Ray,F3BC70,F3D6A0,80B8D050
ovl_Obj_Bean,F3D6A0,F40080,80B8EA80
ovl_Obj_Blockstop,F40080,F40210,80B91460
ovl_Obj_Bombiwa,F40210,F40780,80B915F0
ovl_Obj_Comb,F40780,F41040,80B91B60
ovl_Obj_Dekujr,F41040,F41720,80B92420
ovl_Obj_Elevator,F41720,F41BB0,80B92B00
ovl_Obj_Hamishi,F41BB0,F42480,80B92F90
ovl_Obj_Hana,F42480,F42780,80B93860
ovl_Obj_Hsblock,F42780,F42E80,80B93B60
ovl_Obj_Ice_Poly,F42E80,F438C0,80B94260
ovl_Obj_Kibako,F438C0,F445F0,80B94CA0
ovl_Obj_Kibako2,F445F0,F44CF0,80B959D0
ovl_Obj_Lift,F44CF0,F457C0,80B960D0
ovl_Obj_Lightswitch,F457C0,F46E90,80B96BA0
ovl_Obj_Makekinsuta,F46E90,F47130,80B98270
ovl_Obj_Makeoshihiki,F47130,F476C0,80B98510
ovl_Obj_Mure,F476C0,F48B60,80B98AA0
ovl_Obj_Mure2,F48B60,F495F0,80B99F40
ovl_Obj_Mure3,F495F0,F49DA0,80B9A9D0
ovl_Obj_Oshihiki,F49DA0,F4BBF0,80B9B180
ovl_Obj_Roomtimer,F4BBF0,F4BE30,80B9CFD0
ovl_Obj_Switch,F4BE30,F4DED0,80B9D210
ovl_Obj_Syokudai,F4DED0,F4EBB0,80B9F2B0
